# country	date	holiday
BE	2027-07-21	holiday
BE	2027-08-15	holiday
BE	2027-11-01	holiday
BE	2027-11-11	holiday
BE	2027-12-25	holiday
BE	2028-01-01	holiday
BE	2028-04-17	holiday
BE	2028-05-01	holiday
BE	2028-05-25	holiday
BE	2028-06-05	holiday
BE	2028-07-21	holiday
BE	2028-08-15	holiday
BE	2028-11-01	holiday
BE	2028-11-11	holiday
BE	2028-12-25	holiday
BE	2029-01-01	holiday
BE	2029-04-02	holiday
BE	2029-05-01	holiday
BE	2029-05-10	holiday
BE	2029-05-21	holiday
BE	2029-07-21	holiday
BE	2029-08-15	holiday
BE	2029-11-01	holiday
BE	2029-11-11	holiday
BE	2029-12-25	holiday
BE	2030-01-01	holiday
BE	2030-04-22	holiday
BE	2030-05-01	holiday
BE	2030-05-30	holiday
BE	2030-06-10	holiday
BE	2030-07-21	holiday
BE	2030-08-15	holiday
BE	2030-11-01	holiday
BE	2030-11-11	holiday
BE	2030-12-25	holiday
BE	2031-01-01	holiday
BE	2031-04-14	holiday
BE	2031-05-01	holiday
BE	2031-05-22	holiday
BE	2031-06-02	holiday
BE	2031-07-21	holiday
BE	2031-08-15	holiday
BE	2031-11-01	holiday
BE	2031-11-11	holiday
BE	2031-12-25	holiday
BE	2032-01-01	holiday
BE	2032-03-29	holiday
BE	2032-05-01	holiday
BE	2032-05-06	holiday
BE	2032-05-17	holiday
BE	2032-07-21	holiday
BE	2032-08-15	holiday
BE	2032-11-01	holiday
BE	2032-11-11	holiday
BE	2032-12-25	holiday
BE	2033-01-01	holiday
BE	2033-04-18	holiday
BE	2033-05-01	holiday
BE	2033-05-26	holiday
BE	2033-06-06	holiday
BE	2033-07-21	holiday
BE	2033-08-15	holiday
BE	2033-11-01	holiday
BE	2033-11-11	holiday
BE	2033-12-25	holiday
BE	2034-01-01	holiday
BE	2034-04-10	holiday
BE	2034-05-01	holiday
BE	2034-05-18	holiday
BE	2034-05-29	holiday
BE	2034-07-21	holiday
BE	2034-08-15	holiday
BE	2034-11-01	holiday
BE	2034-11-11	holiday
BE	2034-12-25	holiday
BE	2035-01-01	holiday
BE	2035-03-26	holiday
BE	2035-05-01	holiday
BE	2035-05-03	holiday
BE	2035-05-14	holiday
BE	2035-07-21	holiday
BE	2035-08-15	holiday
BE	2035-11-01	holiday
BE	2035-11-11	holiday
BE	2035-12-25	holiday
BR	2019-01-01	holiday
BR	2019-04-19	holiday
BR	2019-04-21	holiday
BR	2019-05-01	holiday
BR	2019-09-07	holiday
BR	2019-10-12	holiday
BR	2019-11-02	holiday
BR	2019-11-15	holiday
BR	2019-12-25	holiday
BR	2020-01-01	holiday
BR	2020-04-10	holiday
BR	2020-04-21	holiday
BR	2020-05-01	holiday
BR	2020-09-07	holiday
BR	2020-10-12	holiday
BR	2020-11-02	holiday
